user_id,session_id,category,brand,cost_price,selling_price,discount,timestamp,referrer,device_type,os,browser,ip_address,payment_method
USI_30,4584c66330A0E07E50bD6df6a315FBAb,Desktop Computers,Dell,52207,58573.0,621,2023-10-26 18:46:39,met382,Laptops,Android,Microsoft Edge,128.117.201.197,Debit Card
USI_489,e9F0ebb2Ae952fCceB5b54fE07ACB0E7,Networking Equipment,Giorgio Armani,99028,111012.0,101,2023-10-26 18:46:39,yim994,Tablets,Linux,Vivaldi,136.115.234.153,Net Banking
USI_422,3239c78F4A09Beebe9Ff3E1feB58eF7b,Tablets,AMD,80189,86630.0,534,2023-10-26 18:46:39,vhk659,Desktop Computers,iOS,Firefox,54.20.96.66,NEFT
USI_362,70fe61bDfff4CEfeDF507BD3CFDf7AeE,Audio Equipment,Intel,33281,38654.0,514,2023-10-26 18:46:39,0,Smart TVs,Android,Safari,235.241.23.153,Net Banking
USI_435,A75eD4d0cD4Ee26108F6b113C72BFcBB,Smartphones,Fendi,48954,56849.0,472,2023-10-26 18:46:39,sci993,Smartphones,iOS,Safari,90.27.29.192,Cash on Delivery (COD)
USI_739,80EADE3dF4000aF15d4126BfbEEFC57A,Networking Equipment,Microsoft,97314,109905.0,1739,2023-10-26 18:46:39,0,Laptops,Linux,Edge,164.200.105.79,Mobile Wallets
USI_586,7E2bEEDCb055FD84DEDEFFbbE90D712e,Desktop Computers,Corsair,43574,48490.0,1113,2023-10-26 18:46:39,0,Tablets,Linux,Firefox,198.204.174.128,EMI
USI_651,3f0087975a6cE828fCC5Ba7B3546197c,Audio Equipment,Nvidia,99578,111052.0,1084,2023-10-26 18:46:39,0,Smartphones,Windows,Opera,146.26.236.236,Debit Card
USI_451,9B0BD34A2BD87DB6acD4ceFa9eeAF071,Laptops,ASRock,79625,85039.0,1037,2023-10-26 18:46:39,0,Gaming Consoles,Ubuntu,Brave,125.206.243.134,RTGS
USI_336,47FB533A3DE4d0eDef0F94c6EEE56BaC,Tablets,Swatch,19031,20996.0,1743,2023-10-26 18:46:39,hef414,Laptops,macOS,Brave,91.68.50.207,EMI
USI_10,b4fFbBBe99ed53C8A51FeADD5aDF42EF,Networking Equipment,Acer,49700,53925.0,1920,2023-10-26 18:46:54,yxk814,Smart TVs,Linux,Vivaldi,186.229.4.151,Mobile Wallets
USI_620,D6bAeBCDC5f45E2bed272ec4cF6cb16A,Accessories,Michael Kors,44377,49987.0,1726,2023-10-26 18:46:54,sfb687,Laptops,macOS,Chrome,212.217.33.250,EMI
USI_967,e81e909CA302069fAee7A3d58cdA18fc,Accessories,Toshiba,21750,24714.0,1021,2023-10-26 18:46:54,jxg83,Desktop Computers,Windows,Microsoft Edge,11.121.228.129,Mobile Wallets
USI_965,E9d8Bd57F4FA400eE0cd6cB28830A770,Accessories,Corsair,56927,65966.0,1881,2023-10-26 18:46:54,nzm500,Laptops,iOS,Vivaldi,101.103.209.5,Debit Card
USI_594,1d2775ddd0fF51dBCbDD9Bc5229086aC,Gaming Consoles,Intel,23226,27028.0,1358,2023-10-26 18:47:08,khf990,Laptops,Chrome OS,Edge,69.73.200.234,IMPS
USI_241,53E82b84EC10f81E71aCC754C3Dda1fa,Gaming Consoles,Burberry,40174,46542.0,271,2023-10-26 18:47:08,0,Tablets,Linux,Safari,103.158.24.140,Debit Card
USI_462,5d73A750b9a02AaB0bABdbBdFAed3aE3,Tablets,Western Digital,28365,32927.0,1803,2023-10-26 18:47:08,rij87,Tablets,Chrome OS,Edge,231.50.213.59,UPI
USI_5,fF73E7C70A73E7A6702c4660AeCd32d4,Gaming Consoles,Hyundai,26588,31044.0,1442,2023-10-26 18:47:24,0,Tablets,Windows,Chrome,12.111.54.9,Mobile Wallets
USI_218,5f778542Eb25f402bDeDC02CEbd7D58A,Networking Equipment,H&M,57504,67910.0,653,2023-10-26 18:47:24,njx626,Laptops,Windows,Safari,141.27.33.14,Cash on Delivery (COD)
USI_535,7f45b2D5bF8C3B0EAFaF46ba08c904FC,Laptops,Hermes,70331,79944.0,1966,2023-10-26 18:47:25,0,Gaming Consoles,macOS,Opera,246.60.75.61,Credit Card
USI_64,52F04EC15E83a05dFa2210B26F6FdBB0,Wearable Technology,Samsung,98205,113562.0,562,2023-10-26 18:47:25,ybn931,Tablets,Linux,Firefox,143.89.74.158,Credit Card
USI_127,504c7385E411DD43bbaa59fBA5B922c9,Digital Cameras,Beats by Dre,52298,58238.0,339,2023-10-26 18:47:25,0,Gaming Consoles,Ubuntu,Yandex Browser,80.78.86.38,Net Banking
USI_423,ec2Cc4ECFAbE06F2b346560d6F9e3c37,Home Appliances,Converse,94681,108305.0,223,2023-10-26 18:47:25,qcb119,Laptops,Windows,Yandex Browser,38.26.119.194,UPI
USI_495,9ffA9e1eCEeD229fCb5bfecC0Fd17Ad5,Wearable Technology,Under Armour,38708,44208.0,106,2023-10-26 18:47:30,0,Desktop Computers,Linux,Firefox,166.2.118.46,IMPS
USI_248,eFfADFf9CB86a3b76FED53d8437F1cE1,Audio Equipment,HP,43071,48586.0,327,2023-10-26 18:47:30,0,Smart TVs,Linux,Edge,74.255.10.154,NEFT
USI_406,F0a723c771eFBb97ccAAcEcB05B25704,Televisions,HP,36557,41877.0,1538,2023-10-26 18:47:30,0,Laptops,Android,Edge,129.77.100.226,UPI
USI_795,a2f5EeA36FFfadD188Da9dE5cD2Ac064,Laptops,Nokia,42484,47830.0,987,2023-10-26 18:47:30,0,Tablets,Chrome OS,Edge,180.224.7.130,RTGS
USI_698,ee8aAaF297445F5Fb6Bc2E4DFa670825,Laptops,AMD,13086,15040.0,464,2023-10-26 18:47:30,0,Smartphones,Linux,Vivaldi,7.199.187.224,UPI
USI_305,65eCF46B12BFEBCFb5ebA03a41ce31C6,Smartphones,Diesel,38607,43229.0,186,2023-10-26 18:47:30,0,Tablets,iOS,Safari,3.229.128.165,NEFT
USI_601,9Ea2780008Af000678fFA8Ad29f0D22B,Televisions,Sony,13895,16465.0,877,2023-10-26 18:47:30,0,Tablets,Android,Opera,0.227.46.175,IMPS
